wassup gamers
2s 9c
6s 7h
Kc As
Kh 6d
2c 2s
Js Th
Jd 8s
5c Js
Ts As
3h Ts
Jc 4d
4c Jh
8h 4s
7d 4c
2s 6c
Ah 5h
7c 5c
Ad As
8c 9d
Qd 5h
Kh 7c
Ts Jc
Qh 9d
Qc Qs
8d Qs
4c Qd
Jh Tc
7h 2s
6d 8c
Jc 2c
9d Ac
9c Jh
Qd 8h
Ts 7h
4h 3s
6d 9s
4d 7d
Qs 2h
6s 7h
6d Jd
Ad 2s
7d 6s
Ts Ac
Qd 3s
3h 2h
7d Qh
Kc 6h
As 7c
9c 2h
8s 7c
4c 7h
Kc 7h
9d 6c
8c 8h
Qd 7d
Jc 2d
6c Jc
Kc 9h
8s 3h
8c 5c
Ah 2h
2d 6s
8h 3s
Jd Ac
6h Kh
Th 3d
9h Ad
4h 5c
2d Kd
Ah 7h
As Ac
8c 4h
2c 9h
3s 2s
Qs 6c
Qc 2d
9h 5h
5d 2h
6c Jd
5d Kc
4c 6h
Qh Qc
Ac 7d
9c 9h
Ah 6s
Ad 9c
2c 6c
9d Ts
5h 6c
6d 2s
3s 9c
Ah Js
2s 5s
5d 4h
Ts 6s
Ac 7s
8s As
3h 2c
Qd 9h
5h 8h
2s 9c
6s 7h
Kc As
Kh 6d
2c 2s
Js Th
Jd 8s
5c Js
Ts As
3h Ts
Jc 4d
4c Jh
8h 4s
7d 4c
2s 6c
Ah 5h
7c 5c
Ad As
8c 9d
Qd 5h
Kh 7c
Ts Jc
Qh 9d
Qc Qs
8d Qs
4c Qd
Jh Tc
7h 2s
6d 8c
Jc 2c
9d Ac
9c Jh
Qd 8h
Ts 7h
4h 3s
6d 9s
4d 7d
Qs 2h
6s 7h
6d Jd
Ad 2s
7d 6s
Ts Ac
Qd 3s
3h 2h
7d Qh
Kc 6h
As 7c
9c 2h
8s 7c
4c 7h
Kc 7h
9d 6c
8c 8h
Qd 7d
Jc 2d
6c Jc
Kc 9h
8s 3h
8c 5c
Ah 2h
2d 6s
8h 3s
Jd Ac
6h Kh
Th 3d
9h Ad
4h 5c
2d Kd
Ah 7h
As Ac
8c 4h
2c 9h
3s 2s
Qs 6c
Qc 2d
9h 5h
5d 2h
6c Jd
5d Kc
4c 6h
Qh Qc
Ac 7d
9c 9h
Ah 6s
Ad 9c
2c 6c
9d Ts
5h 6c
6d 2s
3s 9c
Ah Js
2s 5s
5d 4h
Ts 6s
Ac 7s
8s As
3h 2c
Qd 9h
5h 8h
2s 9c
6s 7h
Kc As
Kh 6d
2c 2s
Js Th
Jd 8s
5c Js
Ts As
3h Ts
Jc 4d
4c Jh
8h 4s
7d 4c
2s 6c
Ah 5h
7c 5c
Ad As
8c 9d
Qd 5h
Kh 7c
Ts Jc
Qh 9d
Qc Qs
8d Qs
4c Qd
Jh Tc
7h 2s
6d 8c
Jc 2c
9d Ac
9c Jh
Qd 8h
Ts 7h
4h 3s
6d 9s
4d 7d
Qs 2h
6s 7h
6d Jd
Ad 2s
7d 6s
Ts Ac
Qd 3s
3h 2h
7d Qh
Kc 6h
As 7c
9c 2h
8s 7c
4c 7h
Kc 7h
9d 6c
8c 8h
Qd 7d
Jc 2d
6c Jc
Kc 9h
8s 3h
8c 5c
Ah 2h
2d 6s
8h 3s
Jd Ac
6h Kh
Th 3d
9h Ad
4h 5c
2d Kd
Ah 7h
As Ac
8c 4h
2c 9h
3s 2s
Qs 6c
Qc 2d
9h 5h
5d 2h
6c Jd
5d Kc
4c 6h
Qh Qc
Ac 7d
9c 9h
Ah 6s
Ad 9c
2c 6c
9d Ts
5h 6c
6d 2s
3s 9c
Ah Js
2s 5s
5d 4h
Ts 6s
Ac 7s
8s As
3h 2c
Qd 9h
5h 8h
2s 9c
6s 7h
Kc As
Kh 6d
2c 2s
Js Th
Jd 8s
5c Js
Ts As
3h Ts
Jc 4d
4c Jh
8h 4s
7d 4c
2s 6c
Ah 5h
7c 5c
Ad As
8c 9d
Qd 5h
Kh 7c
Ts Jc
Qh 9d
Qc Qs
8d Qs
4c Qd
Jh Tc
7h 2s
6d 8c
Jc 2c
9d Ac
9c Jh
Qd 8h
Ts 7h
4h 3s
6d 9s
4d 7d
Qs 2h
6s 7h
6d Jd
Ad 2s
7d 6s
Ts Ac
Qd 3s
3h 2h
7d Qh
Kc 6h
As 7c
9c 2h
8s 7c
4c 7h
Kc 7h
9d 6c
8c 8h
Qd 7d
Jc 2d
6c Jc
Kc 9h
8s 3h
8c 5c
Ah 2h
2d 6s
8h 3s
Jd Ac
6h Kh
Th 3d
9h Ad
4h 5c
2d Kd
Ah 7h
As Ac
8c 4h
2c 9h
3s 2s
Qs 6c
Qc 2d
9h 5h
5d 2h
6c Jd
5d Kc
4c 6h
Qh Qc
Ac 7d
9c 9h
Ah 6s
Ad 9c
2c 6c
9d Ts
5h 6c
6d 2s
3s 9c
Ah Js
2s 5s
5d 4h
Ts 6s
Ac 7s
8s As
3h 2c
Qd 9h
5h 8h
2s 9c
6s 7h
Kc As
Kh 6d
2c 2s
Js Th
Jd 8s
5c Js
Ts As
3h Ts
Jc 4d
4c Jh
8h 4s
7d 4c
2s 6c
Ah 5h
7c 5c
Ad As
8c 9d
Qd 5h
Kh 7c
Ts Jc
Qh 9d
Qc Qs
8d Qs
4c Qd
Jh Tc
7h 2s
6d 8c
Jc 2c
9d Ac
9c Jh
Qd 8h
Ts 7h
4h 3s
6d 9s
4d 7d
Qs 2h
6s 7h
6d Jd
Ad 2s
7d 6s
Ts Ac
Qd 3s
3h 2h
7d Qh
Kc 6h
As 7c
9c 2h
8s 7c
4c 7h
Kc 7h
9d 6c
8c 8h
Qd 7d
Jc 2d
6c Jc
Kc 9h
8s 3h
8c 5c
Ah 2h
2d 6s
8h 3s
Jd Ac
6h Kh
Th 3d
9h Ad
4h 5c
2d Kd
Ah 7h
As Ac
8c 4h
2c 9h
3s 2s
Qs 6c
Qc 2d
9h 5h
5d 2h
6c Jd
5d Kc
4c 6h
Qh Qc
Ac 7d
9c 9h
Ah 6s
Ad 9c
2c 6c
9d Ts
5h 6c
6d 2s
3s 9c
Ah Js
2s 5s
5d 4h
Ts 6s
Ac 7s
8s As
3h 2c
Qd 9h
5h 8h
2s 9c
6s 7h
Kc As
Kh 6d
2c 2s
Js Th
Jd 8s
5c Js
Ts As
3h Ts
Jc 4d
4c Jh
8h 4s
7d 4c
2s 6c
Ah 5h
7c 5c
Ad As
8c 9d
Qd 5h
Kh 7c
Ts Jc
Qh 9d
Qc Qs
8d Qs
4c Qd
Jh Tc
7h 2s
6d 8c
Jc 2c
9d Ac
9c Jh
Qd 8h
Ts 7h
4h 3s
6d 9s
4d 7d
Qs 2h
6s 7h
6d Jd
Ad 2s
7d 6s
Ts Ac
Qd 3s
3h 2h
7d Qh
Kc 6h
As 7c
9c 2h
8s 7c
4c 7h
Kc 7h
9d 6c
8c 8h
Qd 7d
Jc 2d
6c Jc
Kc 9h
8s 3h
8c 5c
Ah 2h
2d 6s
8h 3s
Jd Ac
6h Kh
Th 3d
9h Ad
4h 5c
2d Kd
Ah 7h
As Ac
8c 4h
2c 9h
3s 2s
Qs 6c
Qc 2d
9h 5h
5d 2h
6c Jd
5d Kc
4c 6h
Qh Qc
Ac 7d
9c 9h
Ah 6s
Ad 9c
2c 6c
9d Ts
5h 6c
6d 2s
3s 9c
Ah Js
2s 5s
5d 4h
Ts 6s
Ac 7s
8s As
3h 2c
Qd 9h
5h 8h
2s 9c
6s 7h
Kc As
Kh 6d
2c 2s
Js Th
