wassup gamers
5h Kc

2d 9h

Js Jd

5c As

6d 5d

Jd 8d

5c 5h

3c 6c

Qh 2c

Th Ks

9d 3s

Th 8c

6c 6d

Ac 8c

5c Qc

3s Td

7h Qc

Ks 7c

Ks 3d

7s 5h

3c Kc

4s Ac

9h 3h

4d 7s

6c As

Qs 7c

4s 6c

3h Ac

Ah 6d

3h Kh

6c 9s

6c Qs

7c 9h

Jd 2s

As 3s

7d 5s

Ac 5h

4c Ac

Js 3s

7h Tc

2c 3d

3c Kd

Kd 6c

3h 7d

Jd Qs

2h 6h

Td Kc

Qd 6s

Qs 4h

As Ts

2h 4h

Jd Kh

Qc 4h

Qs 6h

3s Qs

Ac 8h

5h Kc

4d Kd

Ks 2s

Kc 2h

4d 7d

8c 9c

3d 2s

6s Qc

3h 4c

9c 5s

3c Ts

2s 6d

2s 9c

6s 7h

Kc As

Kh 6d

2c 2s

Js Th

Jd 8s

5c Js

Ts As

3h Ts

Jc 4d

4c Jh

8h 4s

7d 4c

2s 6c

Ah 5h

7c 5c

Ad As

8c 9d

Qd 5h

Kh 7c

Ts Jc

Qh 9d

Qc Qs

8d Qs

4c Qd

Jh Tc

7h 2s

6d 8c

Jc 2c

9d Ac

9c Jh

Qd 8h

Ts 7h

4h 3s

6d 9s

4d 7d

Qs 2h

6s 7h

6d Jd

Ad 2s

7d 6s

Ts Ac

Qd 3s

3h 2h

7d Qh

Kc 6h

As 7c

9c 2h

8s 7c

4c 7h

Kc 7h

9d 6c

8c 8h

Qd 7d

Jc 2d

6c Jc

Kc 9h

8s 3h

8c 5c

Ah 2h

2d 6s

8h 3s

Jd Ac

6h Kh

Th 3d

9h Ad

4h 5c

2d Kd

Ah 7h

As Ac

8c 4h

2c 9h

3s 2s

Qs 6c

Qc 2d

9h 5h

5d 2h

6c Jd

5d Kc

4c 6h

Qh Qc

Ac 7d

9c 9h

Ah 6s

Ad 9c

2c 6c

9d Ts

5h 6c

6d 2s

3s 9c

Ah Js

2s 5s

5d 4h

Ts 6s

Ac 7s

8s As

3h 2c

Qd 9h

5h 8h

Ts 7h

Qs 8h

Qs Kh

8d Td

3s 7s

Ah 6h

Js 3d

5s 5d

6d 3s

Jc 4c

3h Jd

4d Th

5d Jh

6h 9s

2s Jd

4h 2s

5s 2s

Kd Kh

Ad 8h

Kc 6d

3s Ah

3c 4h

7h Js

7s 9s

Qc 5h

Th 3h

Kc 9d

3h 5c

Kc Ah

6h 5s

Qc 5h

4s 4h

6s 7d

Ah Jc

8h 9c

4h Jd

4d 7d

3d 4h

6s 2s

Jd 2d

Jh Td

Js 5h

8d Jd

Ac 5h

Ah Ac

Qc 5d

Qs 6h

Ac Jd

